first_name|country_code|mobile_phone
SUZANNE|FRA|0164220501
FANNY|FRA|0164220501
MARIA DE FATIMA|CHE|
REDA|CHE|
MARIE CLAIRE|CHE|
JEAN PIERRE|FRA|33677850405
MICHEL|CHE|
CELINE|FRA|
STEPHANE|FRA|0164220501
ABDULLAH|KWT|0164220501
EMILY|GBR|
DANIEL|CHE|0677850501
MARCELLE|CHE|0677850501
FERNANDE CHANTAL|CHE|
JEREMIE|CHE|
HENRI|FRA|0684332139
GERARD JEAN|FRA|0649440219
GEORGETTE |FRA|06-12-57-21-15
KHELIFA|CHE|06 06 87 84 62
DORIS|CHE|
MARIE THERESE|CHE|
YVES|FRA|
BRIGITTE|FRA|0164220501
JEAN FRANCOIS|CHE|0683033360
CHRISTOPHE|CHE|0674166011
PETER |CHE|
LOICK|FRA|
MARTINE|FRA|33677850405
REGINE|FRA|0677850501
NADINE|FRA|0677850501
SIMONE |FRA|0677850501
OTAR|FRA|0677850501
GERMAINE|FRA|
SIMONE|FRA|
